dispatch_number,date,time,address,location,location_detail,activity,activity_medium,disposition,details,details_text
21178449,2021-11-30,08:24:00,1026 Denbigh Dr,NA,1026 Denbigh Dr,THEFT/MOTOR VEHICLE,THEFT/MOTOR VEHICLE,INCIDENT REPORT TAKEN,Y,NA
21178448,2021-11-30,08:17:00,1917 California Ave,NA,1917 California Ave,911 HANGUP,911 HANGUP,BROADCAST,N,NA
21178443,2021-11-30,08:10:00,1100 ARTHUR ST,TOWN & CAMPUS APARTMENTS,1100 ARTHUR ST,SUSPICIOUS/ACT/PERS/VEH,SUSPICIOUS/ACT/PERS/VEH,UNABLE TO LOCATE,Y,NA
21178442,2021-11-30,08:04:00,1134 Oakes Dr,NA,1134 Oakes Dr,THEFT,THEFT,INCIDENT REPORT TAKEN,Y,NA
21178441,2021-11-30,08:02:00,N Dubuque St/80,NA,N Dubuque St/80,TR/RECKLESS DRIVER,TR/RECKLESS DRIVER,BROADCAST,Y,NA
21178436,2021-11-30,07:54:00,2000 James St,NA,2000 James St,ESCORT/RELAY,ESCORT/RELAY,COMPLETED,Y,NA
21178429,2021-11-30,07:41:00,2007 UNION RD,NA,2007 UNION RD,OUT FOR INVEST/FOLLOW UP,OUT FOR INVEST/FOLLOW UP,COMPLETED,Y,NA
21178418,2021-11-30,07:13:00,802 Foster Rd,NA,802 Foster Rd,THEFT,THEFT,INCIDENT REPORT TAKEN,Y,NA
21178407,2021-11-30,06:27:00,2905 Brookside Dr,NA,2905 Brookside Dr,Z Sick Person,Z Sick Person,HANDLED BY OTHER AGENCY,Y,NA
21178402,2021-11-30,05:52:00,220 Hawkins DR,UNIVERSITY OF IOWA HOSPITALS AND CLINICS,220 Hawkins DR,OUT FOR INVEST/FOLLOW UP,OUT FOR INVEST/FOLLOW UP,PREVIOUS INCIDENT,Y,NA
21178396,2021-11-30,04:14:00,1130 Seymour AVE,LONGFELLOW ELEMENTARY SCHOOL,1130 Seymour AVE,ALARM/BURGLARY,ALARM/BURGLARY,UNK CAUSE ALARM,Y,NA
21178395,2021-11-30,04:09:00,342 Finkbine Ln,NA,342 Finkbine Ln 2,WELFARE CHECK,WELFARE CHECK,INCIDENT REPORT TAKEN,Y,NA
21178394,2021-11-30,03:38:00,210 S Dubuque ST,GRADUATE HOTEL,210 S Dubuque ST,TRESPASS,TRESPASS,COMPLETED,Y,NA
21178390,2021-11-30,02:49:00,119 Myrtle AVE,NA,119 Myrtle AVE,911 HANGUP,911 HANGUP,COMPLETED,Y,NA
21178389,2021-11-30,02:43:00,1 S Riverside Ct,NA,1 S Riverside Ct,CRIMINAL MISC/VANDALISM,CRIMINAL MISC/VANDALISM,INCIDENT REPORT TAKEN,Y,NA
21178383,2021-11-30,02:07:00,1413 Plum St,NA,1413 Plum St,THEFT/MOTOR VEHICLE,THEFT/MOTOR VEHICLE,INCIDENT REPORT TAKEN,Y,NA
21178380,2021-11-30,01:53:00,1065 Manitou Trl,NA,1065 Manitou Trl,WELFARE CHECK,WELFARE CHECK,COMPLETED,Y,NA
21178379,2021-11-30,01:51:00,E Burlington St/S Van Buren St,NA,E Burlington St/S Van Buren St,SUSPICIOUS/ACT/PERS/VEH,SUSPICIOUS/ACT/PERS/VEH,COMPLETED,Y,NA
21178375,2021-11-30,01:44:00,E Burlington St/S Clinton St,NA,E Burlington St/S Clinton St,TRAFFIC STOP,TRAFFIC STOP,WARNING ISSUED VERBAL,N,NA
21178371,2021-11-30,01:12:00,138 S Clinton St,ACTIVE ENDEAVORS,138 S Clinton St,ALARM/BURGLARY,ALARM/BURGLARY,EMPL ERROR ALARM,N,NA
21178370,2021-11-30,01:01:00,1801 S RIVERSIDE DR,IOWA CITY AIRPORT,1801 S RIVERSIDE DR,INFO/ALL OTHER INFO,INFO/ALL OTHER INFO,COMPLETED,Y,NA
21178369,2021-11-30,01:01:00,210 S Dubuque ST,GRADUATE HOTEL,210 S Dubuque ST,TRESPASS,TRESPASS,COMPLETED,Y,NA
21178367,2021-11-30,00:57:00,410 E WASHINGTON ST,NA,410 E WASHINGTON ST,PHONE REQUEST,PHONE REQUEST,COMPLETED,Y,NA
21178365,2021-11-30,00:48:00,579 McCollister BLVD,TERRY TRUEBLOOD RECREATION AREA,579 McCollister BLVD,SUSPICIOUS/ACT/PERS/VEH,SUSPICIOUS/ACT/PERS/VEH,UNABLE TO LOCATE,Y,NA
21178364,2021-11-30,00:47:00,N Dubuque St/Jefferson St,NA,N Dubuque St/Jefferson St,OUT WITH SUBJ,OUT WITH SUBJ,WARNING ISSUED VERBAL,N,NA
21178362,2021-11-30,00:38:00,2801 HWY 6 E,NA,2801 HWY 6 E 69,MVA/DEER/PROPERTY,MVA/DEER/PROPERTY,COMPLETED,Y,NA
21178360,2021-11-30,00:32:00,731 S Riverside DR,Kum & Go,731 S Riverside DR,ASSIST OTHER AGENCY,ASSIST OTHER AGENCY,COMPLETED,Y,NA
21178349,2021-11-30,00:05:00,E Burlington St/S Johnson St,NA,E Burlington St/S Johnson St,TRAFFIC STOP,TRAFFIC STOP,WARNING ISSUED VERBAL,N,NA
21178242,2021-11-29,18:58:00,410 E WASHINGTON ST,IOWA CITY POLICE DEPARTMENT,410 E WASHINGTON ST,PHONE REQUEST,PHONE REQUEST,COMPLETED,Y,NA
21178241,2021-11-29,18:58:00,600 Taft Speedway,NA,600 Taft Speedway,TR/PARKING,TR/PARKING,COMPLETED,Y,NA
21178239,2021-11-29,18:45:00,1100 Arthur St,NA,1100 Arthur St M1,PHONE REQUEST,PHONE REQUEST,COMPLETED,Y,NA
21178238,2021-11-29,18:45:00,E Burlington St/S Dodge St,NA,E Burlington St/S Dodge St,TR/ROAD HAZARD,TR/ROAD HAZARD,INFORMATION,N,NA
21178237,2021-11-29,18:22:00,1126 St Clement St,NA,1126 St Clement St,SUSPICIOUS/ACT/PERS/VEH,SUSPICIOUS/ACT/PERS/VEH,UNABLE TO LOCATE,Y,NA
21178235,2021-11-29,18:24:00,Kenneth Dr/York Pl,NA,Kenneth Dr/York Pl,TR/PARKING,TR/PARKING,UNFOUNDED,Y,NA
21178234,2021-11-29,18:22:00,429 Southgate Ave,SHELTER HOUSE,429 Southgate Ave,Z Chest Pain,Z Chest Pain,PT TRANSPORTED,Y,NA
21178227,2021-11-29,18:20:00,2450 Bittersweet Ct,NA,2450 Bittersweet Ct,DIST/DOMESTIC,DIST/DOMESTIC,ARREST MADE,Y,NA
21178225,2021-11-29,18:12:00,2432 Bittersweet Ct,NA,2432 Bittersweet Ct,911 HANGUP,911 HANGUP,PREVIOUS INCIDENT,Y,NA
21178224,2021-11-29,18:01:00,1720 WATERFRONT DR,HY-VEE,1720 WATERFRONT DR,Z Unknown Problem,Z Unknown Problem,COMPLETED,Y,NA
21178219,2021-11-29,17:45:00,4448 Cumberland Ln,NA,4448 Cumberland Ln,ALARM/BURGLARY,ALARM/BURGLARY,UNK CAUSE ALARM,Y,NA
21178218,2021-11-29,17:40:00,731 S Riverside DR,KUM & GO,731 S Riverside DR,OUT WITH SUBJ,OUT WITH SUBJ,COMPLETED,N,NA
21178217,2021-11-29,17:38:00,532 S DUBUQUE ST,NA,532 S DUBUQUE ST,911 HANGUP,911 HANGUP,UNABLE TO LOCATE,Y,NA
21178215,2021-11-29,17:35:00,2 Escort Ln,RJZ EXPRESS,2 Escort Ln,THEFT/GAS DRIVE OFF,THEFT/GAS DRIVE OFF,DECLINE REPORT ON SCENE,Y,NA
21178212,2021-11-29,17:19:00,Hollywood Blvd/Miami Dr,NA,Hollywood Blvd/Miami Dr,TR/PARKING,TR/PARKING,PARKING TICKET,Y,NA
21178210,2021-11-29,17:15:00,410 E WASHINGTON ST,IOWA CITY POLICE DEPARTMENT,410 E WASHINGTON ST,PROPERTY/LOST,PROPERTY/LOST,COMPLETED,N,NA
21178209,2021-11-29,17:13:00,Mormon Trek Blvd/Hwy 1 W,NA,Mormon Trek Blvd/Hwy 1 W,PHONE REQUEST,PHONE REQUEST,COMPLETED,Y,NA
21178206,2021-11-29,17:08:00,S Gilbert St/Hwy 6,NA,S Gilbert St/Hwy 6,MVA/HIT AND RUN PD,MVA/HIT AND RUN PD,INCIDENT REPORT TAKEN,Y,NA
21178204,2021-11-29,17:09:00,N Gilbert St/E Iowa Ave,NA,N Gilbert St/E Iowa Ave,TRAFFIC STOP,TRAFFIC STOP,WARNING ISSUED VERBAL,N,NA
21178187,2021-11-29,16:33:00,2105 Broadway St,NEIGHBORHOOD CENTERS OF JOHNSON COUNTY,2105 Broadway St,THEFT/MOTOR VEHICLE,THEFT/MOTOR VEHICLE,INCIDENT REPORT TAKEN,Y,NA
21178186,2021-11-29,16:31:00,100 Hawk Ridge Dr,HAWKS RIDGE,100 Hawk Ridge Dr,FIRE RESPONSE LAW,FIRE RESPONSE LAW,HANDLED BY OTHER AGENCY,Y,NA
21178183,2021-11-29,16:28:00,810 Benton Dr,NA,810 Benton Dr,DIST/DOMESTIC,DIST/DOMESTIC,INCIDENT REPORT TAKEN,Y,NA
21178179,2021-11-29,16:23:00,2605 Naples Ave,MENARDS,2605 Naples Ave,FRAUD/BAD CHECKS,FRAUD/BAD CHECKS,INCIDENT REPORT TAKEN,N,NA
21178171,2021-11-29,16:09:00,710 5th Ave,NA,710 5th Ave,TR/PARKING,TR/PARKING,COMPLETED,Y,NA
21178168,2021-11-29,16:08:00,1900 Morningside DR,CITY HIGH SCHOOL,1900 Morningside DR,JUV/GENERAL,JUV/GENERAL,PT TRANSPORTED,Y,NA
21178167,2021-11-29,16:08:00,410 E WASHINGTON ST,IOWA CITY POLICE DEPARTMENT,410 E WASHINGTON ST,OUT FOR INVEST/FOLLOW UP,OUT FOR INVEST/FOLLOW UP,PREVIOUS INCIDENT,N,NA
21178166,2021-11-29,16:06:00,410 E WASHINGTON ST,IOWA CITY POLICE DEPARTMENT,410 E WASHINGTON ST,PHONE REQUEST,PHONE REQUEST,PREVIOUS INCIDENT,Y,NA
21178163,2021-11-29,15:55:00,327 E College St,NA,327 E College St,THEFT,THEFT,INCIDENT REPORT TAKEN,Y,NA
21178161,2021-11-29,15:51:00,410 E WASHINGTON ST,IOWA CITY POLICE DEPARTMENT,410 E WASHINGTON ST,FRAUD/FORGERY,FRAUD/FORGERY,INCIDENT REPORT TAKEN,N,NA
21178159,2021-11-29,15:51:00,909 S Dodge St,NA,909 S Dodge St,Z Falls,Z Falls,COMPLETED,Y,NA
21178156,2021-11-29,15:49:00,1930 Lakeside Dr,GRANT WOOD ELEMENTARY SCHOOL,1930 Lakeside Dr,TR/RECKLESS DRIVER,TR/RECKLESS DRIVER,UNABLE TO LOCATE,Y,NA
21178149,2021-11-29,15:30:00,410 E Washington St,NA,410 E Washington St,ADMIN/FINGERPRINTS,ADMIN/FINGERPRINTS,COMPLETED,Y,NA
21178147,2021-11-29,15:26:00,410 E WASHINGTON ST,IOWA CITY POLICE DEPARTMENT,410 E WASHINGTON ST,PHONE REQUEST,PHONE REQUEST,COMPLETED,Y,NA
21178146,2021-11-29,15:19:00,590 Foster Rd,NA,590 Foster Rd B3,VIOLATION NO CONTACT ORDER,VIOLATION NO CONTACT ORDER,INCIDENT REPORT TAKEN,Y,NA
21178133,2021-11-29,14:59:00,114 E WASHINGTON ST,MESA PIZZA,114 E WASHINGTON ST,MENTAL IMPAIRMENT,MENTAL IMPAIRMENT,INCIDENT REPORT TAKEN,Y,NA
21178123,2021-11-29,14:44:00,417 S Clinton St,NA,417 S Clinton St,COURT,COURT,COMPLETED,Y,NA
21178116,2021-11-29,14:28:00,410 E WASHINGTON ST,IOWA CITY POLICE DEPARTMENT,410 E WASHINGTON ST,PHONE REQUEST,PHONE REQUEST,UNABLE TO CONTACT,Y,NA
21178115,2021-11-29,14:30:00,Rochester Ave/Ashwood Dr,NA,Rochester Ave/Ashwood Dr,TR/WORK SCHOOL CROSSING,TR/WORK SCHOOL CROSSING,COMPLETED,Y,NA
21178114,2021-11-29,14:28:00,410 E WASHINGTON ST,IOWA CITY POLICE DEPARTMENT,410 E WASHINGTON ST,ESCORT/RELAY,ESCORT/RELAY,COMPLETED,N,NA
21178112,2021-11-29,14:26:00,832 Oakcrest St,NA,832 Oakcrest St,CIVIL TOW,CIVIL TOW,INFORMATION,Y,NA
21178111,2021-11-29,14:23:00,2221 Rochester Ave,J & S EXPRESS,2221 Rochester Ave,MVA/HIT AND RUN PD,MVA/HIT AND RUN PD,COMPLETED,Y,NA
21178103,2021-11-29,14:12:00,10 Data Dr,NA,10 Data Dr,OUT FOR INVEST/FOLLOW UP,OUT FOR INVEST/FOLLOW UP,COMPLETED,N,NA
21178101,2021-11-29,14:06:00,2901 Melrose AVE,IOWA CITY WEST HIGH SCHOOL,2901 Melrose AVE,911 HANGUP,911 HANGUP,PREVIOUS INCIDENT,Y,NA
21178100,2021-11-29,14:05:00,2901 Melrose Ave,IOWA CITY WEST HIGH SCHOOL,2901 Melrose Ave,911 HANGUP,911 HANGUP,PREVIOUS INCIDENT,Y,NA
21178098,2021-11-29,14:03:00,729 N Linn St,NA,729 N Linn St,TR/PARKING,TR/PARKING,PARKING TICKET,Y,NA
21178097,2021-11-29,14:01:00,1201 S GILBERT ST,RIVERFRONT CROSSINGS APARTMENTS,1201 S GILBERT ST,VEHICLE UNLOCK,VEHICLE UNLOCK,COMPLETED,Y,NA
21178095,2021-11-29,14:00:00,821 N JOHNSON ST,SUCCESSFUL LIVING,821 N JOHNSON ST,Z Overdose/Poisoning,Z Overdose/Poisoning,PT TRANSPORTED,Y,NA
21178080,2021-11-29,13:40:00,301 N 7th Ave,NA,301 N 7th Ave,ANIMAL/CARCASS,ANIMAL/CARCASS,COMPLETED,Y,NA
21178077,2021-11-29,13:35:00,410 E WASHINGTON ST,IOWA CITY POLICE DEPARTMENT,410 E WASHINGTON ST,DIST/DOMESTIC,DIST/DOMESTIC,INCIDENT REPORT TAKEN,N,NA
21178072,2021-11-29,13:23:00,1100 ARTHUR ST,NA,1100 ARTHUR ST,911 HANGUP,911 HANGUP,UNABLE TO LOCATE,Y,NA
21178065,2021-11-29,13:10:00,220 S Gilbert ST,ROBERT A LEE RECREATION CENTER,220 S Gilbert ST,ESCORT/RELAY,ESCORT/RELAY,COMPLETED,N,NA
21178064,2021-11-29,13:10:00,410 E WASHINGTON ST,IOWA CITY POLICE DEPARTMENT,410 E WASHINGTON ST,OUT FOR INVEST/FOLLOW UP,OUT FOR INVEST/FOLLOW UP,INCIDENT REPORT TAKEN,N,NA
21178062,2021-11-29,13:06:00,1122 Deforest Ave,NA,1122 Deforest Ave,TR/PARKING,TR/PARKING,COMPLETED,Y,NA
21178061,2021-11-29,13:04:00,1065 Manitou Trl,NA,1065 Manitou Trl,WELFARE CHECK,WELFARE CHECK,COMPLETED,Y,NA
21178058,2021-11-29,13:03:00,410 E Washington St,NA,410 E Washington St,ESCORT/RELAY,ESCORT/RELAY,COMPLETED,Y,NA
21178057,2021-11-29,13:00:00,410 E WASHINGTON ST,IOWA CITY POLICE DEPARTMENT,410 E WASHINGTON ST,PHONE REQUEST,PHONE REQUEST,PREVIOUS INCIDENT,Y,NA
21178055,2021-11-29,12:47:00,1678 Burns Ave,NA,1678 Burns Ave,SUPERVISOR RESPONSE,SUPERVISOR RESPONSE,COMPLETED,Y,NA
21178051,2021-11-29,12:34:00,1816 Hollywood Ct,NA,1816 Hollywood Ct,PHONE REQUEST,PHONE REQUEST,UNABLE TO CONTACT,Y,NA
21178043,2021-11-29,12:10:00,517 S Linn St,NA,517 S Linn St,ANIMAL/CARCASS,ANIMAL/CARCASS,COMPLETED,Y,NA
21178042,2021-11-29,12:10:00,410 E WASHINGTON ST,IOWA CITY POLICE DEPARTMENT,410 E WASHINGTON ST,PHONE REQUEST,PHONE REQUEST,COMPLETED,Y,NA
21178041,2021-11-29,12:09:00,2901 Melrose AVE,IOWA CITY WEST HIGH SCHOOL,2901 Melrose AVE,911 HANGUP,911 HANGUP,UNABLE TO LOCATE,Y,NA
21178038,2021-11-29,11:59:00,Church St/N Dubuque St,NA,Church St/N Dubuque St,MVA/HIT AND RUN PD,MVA/HIT AND RUN PD,NO REPORT,Y,NA
21178036,2021-11-29,11:58:00,1678 Burns Ave,NA,1678 Burns Ave,TR/PARKING,TR/PARKING,VEHICLE TOWED,Y,NA
21178031,2021-11-29,11:46:00,410 E WASHINGTON ST,IOWA CITY POLICE DEPARTMENT,410 E WASHINGTON ST,PHONE REQUEST,PHONE REQUEST,COMPLETED,Y,NA
21178027,2021-11-29,11:42:00,2790 N DODGE ST,NORTH DODGE EXPRESS,2790 N DODGE ST,911 HANGUP,911 HANGUP,COMPLETED,Y,NA
21178026,2021-11-29,11:42:00,1103 N Dodge ST,HY-VEE GAS,1103 N Dodge ST,MVA/HIT AND RUN PD,MVA/HIT AND RUN PD,COMPLETED,Y,NA
21178022,2021-11-29,11:36:00,1109 Weeber Cir,NA,1109 Weeber Cir,TR/PARKING,TR/PARKING,COMPLETED,Y,NA
21178021,2021-11-29,11:33:00,1447 Ranier Dr,NA,1447 Ranier Dr,ALARM/BURGLARY,ALARM/BURGLARY,UNK CAUSE ALARM,Y,NA
21178006,2021-11-29,11:02:00,S Clinton St/E Washington St,NA,S Clinton St/E Washington St,DIST/FIGHT IN PROGRESS,DIST/FIGHT IN PROGRESS,INCIDENT REPORT TAKEN,Y,NA
21178003,2021-11-29,10:55:00,1480 S 1st Ave,WENDYS,1480 S 1st Ave,BOMB/THREAT,BOMB/THREAT,INCIDENT REPORT TAKEN,Y,NA
21178001,2021-11-29,10:47:00,1620 Derwen Dr,NA,1620 Derwen Dr,Z Sick Person,Z Sick Person,HANDLED BY OTHER AGENCY,Y,NA
21177997,2021-11-29,10:46:00,410 E Washington St,NA,410 E Washington St,ADMIN/FINGERPRINTS,ADMIN/FINGERPRINTS,COMPLETED,Y,NA
21177987,2021-11-29,10:28:00,1600 Burns Ave,NA,1600 Burns Ave,TR/PARKING,TR/PARKING,PARKING TICKET,Y,NA
21177984,2021-11-29,10:16:00,8 Wrexham Dr,NA,8 Wrexham Dr,TR/PARKING,TR/PARKING,COMPLETED,Y,NA
21177978,2021-11-29,10:07:00,23 Hwy 1 W,VERIZON,23 Hwy 1 W,911 HANGUP,911 HANGUP,BROADCAST,Y,NA
21177973,2021-11-29,10:00:00,103 S Capitol ST,SEAMANS CENTER,103 S Capitol ST 3100,ASSIST OTHER AGENCY,ASSIST OTHER AGENCY,COMPLETED,Y,NA
21177971,2021-11-29,09:55:00,1447 Ranier Dr,NA,1447 Ranier Dr,TR/PARKING,TR/PARKING,UNABLE TO LOCATE,N,NA
21177969,2021-11-29,09:54:00,S Scott Blvd/Hwy 6,NA,S Scott Blvd/Hwy 6,TR/RECKLESS DRIVER,TR/RECKLESS DRIVER,BROADCAST,Y,NA
21177968,2021-11-29,09:55:00,410 E Washington St,NA,410 E Washington St,OUT FOR INVEST/FOLLOW UP,OUT FOR INVEST/FOLLOW UP,COMPLETED,Y,NA
21177966,2021-11-29,09:53:00,410 E WASHINGTON ST,IOWA CITY POLICE DEPARTMENT,410 E WASHINGTON ST,PHONE REQUEST,PHONE REQUEST,COMPLETED,Y,NA
21177965,2021-11-29,09:47:00,808 Westwinds Dr,NA,808 Westwinds Dr,TR/RECKLESS DRIVER,TR/RECKLESS DRIVER,UNABLE TO LOCATE,Y,NA
21177961,2021-11-29,09:38:00,Arlington Dr/American Legion Rd SE,NA,Arlington Dr/American Legion Rd SE,PROPERTY/FOUND,PROPERTY/FOUND,INCIDENT REPORT TAKEN,Y,NA
21177960,2021-11-29,09:35:00,417 S Clinton St,NA,417 S Clinton St,ESCORT/RELAY,ESCORT/RELAY,COMPLETED,Y,NA
21177958,2021-11-29,09:30:00,812 S 1st AVE,HY-VEE,812 S 1st AVE,THEFT/SHOPLIFTING,THEFT/SHOPLIFTING,CHARGED/RELEASED,Y,NA
21177956,2021-11-29,09:21:00,435 S Linn ST,NA,435 S Linn ST 808,PHONE REQUEST,PHONE REQUEST,COMPLETED,Y,NA
21177955,2021-11-29,09:19:00,2675 Heinz Rd,NA,2675 Heinz Rd,TR/PARKING,TR/PARKING,COMPLETED,Y,NA
21177953,2021-11-29,09:13:00,112 E Davenport St,NA,112 E Davenport St,TRESPASS,TRESPASS,UNABLE TO LOCATE,Y,NA
21177952,2021-11-29,09:11:00,1131 S Gilbert ST,NA,1131 S Gilbert ST 415,PHONE REQUEST,PHONE REQUEST,COMPLETED,Y,NA
21177949,2021-11-29,09:05:00,80/244wb,NA,80/244wb,Z Chest Pain,Z Chest Pain,PT TRANSPORTED,Y,NA
21177945,2021-11-29,09:03:00,1132 Denbigh Dr,NA,1132 Denbigh Dr,PHONE REQUEST,PHONE REQUEST,COMPLETED,Y,NA
21177925,2021-11-29,08:19:00,2556 Clearwater Ct,NA,2556 Clearwater Ct,TR/RECKLESS DRIVER,TR/RECKLESS DRIVER,UNABLE TO LOCATE,Y,NA
21177921,2021-11-29,08:15:00,955 Mormon Trek Blvd,KUM & GO,955 Mormon Trek Blvd,ALARM/PANIC/HOLDUP,ALARM/PANIC/HOLDUP,COMPLETED,Y,NA
21177917,2021-11-29,08:10:00,404 S Gilbert ST,NA,404 S Gilbert ST,911 HANGUP,911 HANGUP,COMPLETED,Y,NA
21177915,2021-11-29,08:03:00,500-598 S Gilbert St,NA,500-598 S Gilbert St,BURGLARY/VEHICLE,BURGLARY/VEHICLE,INCIDENT REPORT TAKEN,Y,NA
21177909,2021-11-29,07:46:00,2000 Rochester Ave,NA,2000 Rochester Ave,TR/WORK SCHOOL CROSSING,TR/WORK SCHOOL CROSSING,COMPLETED,Y,NA
21177903,2021-11-29,07:30:00,2658 Roberts Rd,NA,2658 Roberts Rd 1A,THEFT/MOTOR VEHICLE,THEFT/MOTOR VEHICLE,INCIDENT REPORT TAKEN,Y,NA
21177899,2021-11-29,07:21:00,228 S CLINTON ST,STARBUCKS,228 S CLINTON ST,THREATS,THREATS,COMPLETED,Y,NA
21177897,2021-11-29,07:16:00,3900 Hebl Ave SW,IOWA CITY LANDFILL & RECYCLING,3900 Hebl Ave SW,MVA/HIT AND RUN PD,MVA/HIT AND RUN PD,INCIDENT REPORT TAKEN,Y,NA
21177896,2021-11-29,07:17:00,1200 S Riverside Dr,NA,1200 S Riverside Dr,ESCORT/RELAY,ESCORT/RELAY,COMPLETED,Y,NA
21177891,2021-11-29,07:04:00,N Dodge St/E Market St,NA,N Dodge St/E Market St,TRAFFIC STOP,TRAFFIC STOP,WARNING ISSUED VERBAL,Y,NA
21177875,2021-11-29,05:43:00,1095 Silvercrest Cir,LEGACY RIDGE 2,1095 Silvercrest Cir 322,Z Falls,Z Falls,HANDLED BY OTHER AGENCY,Y,NA
21177870,2021-11-29,04:57:00,123 N Linn ST,HOLLAND & ANDERSON LLP,123 N Linn ST,ALARM/BURGLARY,ALARM/BURGLARY,UNK CAUSE ALARM,Y,NA
21177869,2021-11-29,04:43:00,2718 Wayne AVE,NA,2718 Wayne AVE 2,PHONE REQUEST,PHONE REQUEST,COMPLETED,Y,NA
21177868,2021-11-29,04:20:00,Newton Rd/S Riverside Dr,NA,Newton Rd/S Riverside Dr,TR/ROAD HAZARD,TR/ROAD HAZARD,REF TO CITY DEPARTMENT,Y,NA
21177865,2021-11-29,03:57:00,123 N Linn ST,HOLLAND & ANDERSON LLP,123 N Linn ST,ALARM/BURGLARY,ALARM/BURGLARY,UNK CAUSE ALARM,Y,NA
21177857,2021-11-29,02:45:00,601 S Gilbert St,NA,601 S Gilbert St 611,Z Falls,Z Falls,COMPLETED,Y,NA
21177854,2021-11-29,02:39:00,323 E BURLINGTON ST,KUM & GO,323 E BURLINGTON ST,PUBLIC ASSIST,PUBLIC ASSIST,CIT/SHELTER,Y,NA
21177850,2021-11-29,02:15:00,820 S Riverside Dr,STAPLES,820 S Riverside Dr,ALARM/BURGLARY,ALARM/BURGLARY,CANCEL ENROUTE ALARM,Y,NA
21177847,2021-11-29,01:46:00,2214 H St,NA,2214 H St,PUBLIC ASSIST,PUBLIC ASSIST,INCIDENT REPORT TAKEN,N,NA
21177841,2021-11-29,01:34:00,2012 Sherman Dr,NA,2012 Sherman Dr,FIRE RESPONSE LAW,FIRE RESPONSE LAW,HANDLED BY OTHER AGENCY,Y,NA
21177838,2021-11-29,01:27:00,1259 Shannon Dr,CONCORD TERRACE APARTMENTS,1259 Shannon Dr 104,Z Sick Person,Z Sick Person,PREVIOUS INCIDENT,Y,NA
21177835,2021-11-29,01:26:00,1259 Shannon Dr,KEY WAY MANAGEMENT,1259 Shannon Dr 104,911 HANGUP,911 HANGUP,PT TRANSPORTED,Y,NA
21177834,2021-11-29,01:25:00,513 2nd Ave,NA,513 2nd Ave 513.5,CRIMINAL MISC/VANDALISM,CRIMINAL MISC/VANDALISM,INCIDENT REPORT TAKEN,Y,NA
21177828,2021-11-29,00:47:00,2019 Union Rd,NA,2019 Union Rd,EXTRA PATROL REQUEST,EXTRA PATROL REQUEST,COMPLETED,Y,NA
21177826,2021-11-29,00:32:00,100 E Iowa Ave,NA,100 E Iowa Ave,OUT WITH SUBJ,OUT WITH SUBJ,ARREST MADE,Y,NA
21177740,2021-11-28,18:58:00,319 E Court St,BLACKHAWK APARTMENTS,319 E Court St 13,TR/PARKING,TR/PARKING,COMPLETED,N,NA
21177738,2021-11-28,18:54:00,218/94NB,NA,218/94NB,TR/MOTORIST ASSIST,TR/MOTORIST ASSIST,COMPLETED,Y,NA
21177735,2021-11-28,18:34:00,109 Denbigh Dr,NA,109 Denbigh Dr,911 HANGUP,911 HANGUP,COMPLETED,Y,NA
21177734,2021-11-28,18:32:00,125 E Burlington St,NA,125 E Burlington St,Z Unknown Problem,Z Unknown Problem,COMPLETED,Y,NA
21177730,2021-11-28,18:17:00,130 N Linn St,NA,130 N Linn St 2425,DIST/NOISE GENERAL,DIST/NOISE GENERAL,NOISE WARNING,N,NA
21177725,2021-11-28,18:11:00,504 E BURLINGTON ST,L&M MIGHTY SHOP,504 E BURLINGTON ST,PHONE REQUEST,PHONE REQUEST,COMPLETED,N,NA
21177724,2021-11-28,18:11:00,919 Hwy 1 W,WALMART,919 Hwy 1 W,SUSPICIOUS/ACT/PERS/VEH,SUSPICIOUS/ACT/PERS/VEH,COMPLETED,Y,NA
21177718,2021-11-28,17:52:00,1519 Muscatine Ave,NA,1519 Muscatine Ave,FIRE RESPONSE LAW,FIRE RESPONSE LAW,HANDLED BY OTHER AGENCY,Y,NA
21177716,2021-11-28,17:52:00,1720 WATERFRONT DR,HY-VEE,1720 WATERFRONT DR,JUV/GENERAL,JUV/GENERAL,CANCEL BY COMPL,Y,NA
21177712,2021-11-28,17:39:00,307 E College ST,NA,307 E College ST,SUSPICIOUS/ACT/PERS/VEH,SUSPICIOUS/ACT/PERS/VEH,UNABLE TO LOCATE,Y,NA
21177710,2021-11-28,17:39:00,1229 Shannon Dr,LEXINGTON PLACE,1229 Shannon Dr 322,PUBLIC ASSIST,PUBLIC ASSIST,COMPLETED,N,NA
21177707,2021-11-28,17:32:00,2530 Bartelt Rd,NA,2530 Bartelt Rd,911 HANGUP,911 HANGUP,INFORMATION,N,NA
21177706,2021-11-28,17:32:00,2120 Taylor Dr,NA,2120 Taylor Dr,TRESPASS,TRESPASS,COMPLETED,Y,NA
21177704,2021-11-28,17:21:00,2514 Mossy Glen Ct,NA,2514 Mossy Glen Ct,911 HANGUP,911 HANGUP,UNABLE TO LOCATE,Y,NA
21177698,2021-11-28,17:04:00,200 E PARK RD,CITY PARK,200 E PARK RD,OPEN DOOR/WINDOW,OPEN DOOR/WINDOW,MALFUNCTION,N,NA
